        Goodreads Top 100 - Highest Rated Books on Goodreads with at least 10,000 Ratings

                      Name                        ,Author                  ,Ratings          
Heaven Official's Blessing: Tian Guan Ci Fu (Novel) Vol. 2     , Mò Xiāng Tóng Xiù      ,  4.69 avg rating — 15,337 ratings
Reverse (The Bittersweet Symphony Duet, #2)     , Kate  Stewart      ,  4.67 avg rating — 12,207 ratings
Wintersteel (Cradle, #8)     , Will Wight      ,  4.70 avg rating — 22,829 ratings
The Running Grave (Cormoran Strike, #7)     , Robert Galbraith      ,  4.65 avg rating — 41,514 ratings
Sulwe     , Lupita Nyong'o      ,  4.66 avg rating — 10,382 ratings
A Place to Hang the Moon     , Kate Albus      ,  4.58 avg rating — 14,016 ratings
The Choice: Embrace the Possible     , Edith Eger      ,  4.58 avg rating — 92,997 ratings
Walk Through Walls: A Memoir     , Marina Abramović      ,  4.56 avg rating — 15,136 ratings
Carl's Doomsday Scenario (Dungeon Crawler Carl, #2)     , Matt Dinniman      ,  4.58 avg rating — 12,559 ratings
He Who Fights with Monsters 2 (He Who Fights with Monsters, #2)     , Shirtaloon      ,  4.58 avg rating — 14,364 ratings
ギヴン 2 [Given 2]     , Natsuki Kizu      ,  4.59 avg rating — 10,266 ratings
Crookedstar's Promise (Warriors Super Edition, #4)     , Erin Hunter      ,  4.56 avg rating — 10,874 ratings
東京喰種トーキョーグール 7 [Tokyo Guru 7] (Tokyo Ghoul, #7)     , Sui Ishida      ,  4.56 avg rating — 13,997 ratings
Highball Rush (Bootleg Springs, #6)     , Claire Kingsley      ,  4.59 avg rating — 11,249 ratings
Etéreo (Extraños, #1)     , Joana Marcús      ,  4.55 avg rating — 16,920 ratings
Sierra Six (Gray Man, #11)     , Mark Greaney      ,  4.58 avg rating — 11,787 ratings
The Midwife of Auschwitz (Women of War #1)     , Anna Stuart      ,  4.56 avg rating — 15,676 ratings
Tutunamayanlar     , Oğuz Atay      ,  4.56 avg rating — 11,387 ratings
Club 22 (Hades, #3)     , Tate James      ,  4.55 avg rating — 19,388 ratings
Player's Handbook     , James Wyatt      ,  4.57 avg rating — 12,747 ratings
Ouran High School Host Club, Vol. 12 (Ouran High School Host Club, #12)     , Bisco Hatori      ,  4.55 avg rating — 11,673 ratings
